id,activity_type,date,time_spent
5825153,join_session_replay - Scheduled 1:n,"February 11,2022",0.214740758
3976815,join_group,"February 19,2022",0
7361091,join_group,"February 19,2022",0
3763585,join_session_live - Scheduled 1:n,"February 20,2022",98.95085288
8550562,enter_group,"February 16,2022",0
5629602,Live Practice Game,"January 29,2022",0.423947367
5629602,quizon,"January 29,2022",0
1279104,join_session_live - Scheduled 1:n,"February 16,2022",98.78797698
2049088,join_group,"February 16,2022",0
313529,join_session_live - Scheduled 1:n,"February 19,2022",98.74470824
4798927,join_group,"February 25,2022",0
1776006,join_session_live - Scheduled Competition,"February 3,2022",193.9518271
1709814,homework,"February 4,2022",3.01820962
1577196,join_session_live - Scheduled 1:n,"February 16,2022",98.71925085
1889563,join_session_live - Scheduled 1:n,"January 21,2022",98.44419525
7112471,quizon,"January 17,2022",0
2125492,exit_group_section - post_details,"January 20,2022",0
5995463,join_session_live - Scheduled Competition,"February 4,2022",70.54429994
7412277,join_group,"February 19,2022",0
5683304,exit_group_section - post_details,"February 16,2022",0
3267429,join_session_replay - Scheduled 1:n,"February 14,2022",19.4453701
4279388,join_session_live - Scheduled 1:n,"February 11,2022",98.41392751
2155002,join_session_replay - Scheduled 1:n,"February 16,2022",0.951435668
2815960,join_group,"January 17,2022",0
2466123,join_session_live - Scheduled 1:n,"February 14,2022",98.39468441
6826061,exit_group_section - post_details,"January 17,2022",0
6826061,exit_group_section - post_details,"January 20,2022",0
6826061,exit_group_section - post_details,"January 21,2022",0
6826061,quizon,"January 11,2022",0
6826061,quizon,"January 17,2022",0
6826061,quizon,"January 20,2022",0
8187877,homework,"February 16,2022",0.544754836
6038895,join_session_replay - Scheduled 1:n,"February 16,2022",28.74369767
5388208,join_group,"February 16,2022",0
5388208,join_session_replay - Scheduled 1:n,"February 16,2022",27.54495062
4011602,join_session_replay - Scheduled 1:n,"January 17,2022",1.66098826
4443023,join_session_replay - Scheduled 1:n,"February 16,2022",21.84222884
3211890,homework,"February 16,2022",4.202079846
5041083,join_session_live - Scheduled 1:n,"January 28,2022",98.33474401
7473825,exit_group_section - post_details,"February 16,2022",0
7473825,join_group,"February 16,2022",0
3544176,join_session_replay - Scheduled 1:n,"February 19,2022",5.624643526
5497937,join_session_live - Scheduled 1:n,"January 17,2022",98.26618544
6432645,homework,"February 16,2022",0.059081286
3053432,Live Practice Game,"February 20,2022",1.442612728
1631927,join_session_live - Scheduled 1:n,"February 19,2022",98.24647257
3315978,join_session_live - Scheduled Competition,"January 17,2022",197.1906032
6015431,join_session_live - Scheduled 1:n,"January 7,2022",98.18592093
3623233,join_session_live - Scheduled 1:n,"February 19,2022",98.14711711
